Submission ID,cup_assumptions,spent_assumptions,eq_assumptions
bl4Q4E,2,1.0,1250
KMBKBK,2,1.0,750
DVv6Jj,2,1.6666666666666667,400
eBxW7E,3,2.3333333333333335,1250
GrBAoz,3,1.6666666666666667,750
EPb70o,2,3.0,750
kYRBJd,2,1.6666666666666667,1250
J2kv2d,1,1.0,200
OABMdk,2,2.3333333333333335,75
LdMLvz,0,1.0,750
5dqPLM,2,1.0,750
LdMLXG,2,3.0,75
RzByZP,2,1.6666666666666667,750
42NVvB,0,0.3333333333333333,10
GrBAqO,3,5.0,400
BGbWj4,0,3.0,1250
BGbWB7,1,1.0,75
ylq5o6,3,1.0,1250
J2kvLJ,3,5.0,1250
42NVjb,1,1.0,750
bl4Q2E,1,1.0,400
5dqPev,1,1.0,400
6dQEvO,3,1.6666666666666667,200
jB9ALR,2,1.6666666666666667,200
9dJjpK,2,1.6666666666666667,750
LdMLE2,1,1.0,200
xdN54E,1,2.3333333333333335,1250
J2kvV7,1,1.0,1250
8dp46k,3,3.0,750
1r2oD4,2,1.0,400
bl4QK0,1,1.0,75
DVv6AX,2,5.0,750
QABlxk,1,3.0,750
aBrqjy,2,0.3333333333333333,750
XeBP1e,4,5.0,750
qbE1P2,2,2.3333333333333335,400
9dJjlG,2,2.3333333333333335,200
WApVPJ,2,2.3333333333333335,200
jB9A5Y,3,1.6666666666666667,200
OABMjA,2,1.6666666666666667,1250
DVv6V5,3,3.0,1250
XeBPMd,2,1.6666666666666667,1250
6dQEAo,1,1.0,75
jB9AG9,1,1.0,750
pLPpVV,5,2.3333333333333335,750
5dqPpQ,3,1.0,1250
zKQ51g,1,1.0,75
7d9rp2,2,1.0,75
9dJjrE,1,1.0,200
MAdp78,1,1.0,1250
pLPpz1,0,1.0,400
KMBKgX,2,2.3333333333333335,1250
QABlk1,0,0.3333333333333333,10
PABJ41,1,1.0,400
QABlO1,1,1.0,200
RzByjK,2,2.3333333333333335,400
kYRBrr,3,1.0,750
PABJGx,2,5.0,1250
vNx5gl,1,1.6666666666666667,200
eBxWzx,3,2.3333333333333335,750
WApVZe,0,1.0,200
